Contig,Site_class,N_matched_windows,N_pairs,Friedman_chi2,Raw_p,FDR_p
X,0-fold,20,6,29.616541353383415,1.7546030130595516e-05,2.3394706840794022e-05
X,4-fold,20,6,57.8605388272583,3.360881631631264e-11,1.3443526526525056e-10
3R,0-fold,25,6,19.62276214833758,0.0014706546586403064,0.0014706546586403064
3R,4-fold,25,6,37.61089987325729,4.5169603109808647e-07,9.033920621961729e-07
