Nigeria_status,Contig,Site_class,N_pairwise_comparisons,Mean_of_pair_means,SD_of_pair_means,Min_pair_mean,Max_pair_mean,SE_of_pair_means
With Nigeria_Gombe,3R,0-fold,3,0.0035902584904580026,1.2938488462316544e-05,0.0035774687955386513,0.0036033408084104684,7.470039796625324e-06
With Nigeria_Gombe,3R,4-fold,3,0.0046940363397633186,0.00029495573738770185,0.004391182612165439,0.00498040245573884,0.00017029277437981423
With Nigeria_Gombe,X,0-fold,3,0.002727616175675504,0.00010545886091288046,0.0026311493397715947,0.0028402093910405834,6.088670173648284e-05
With Nigeria_Gombe,X,4-fold,3,0.002151389487149495,0.00016213143734400125,0.0020265951680766203,0.00233464353072894,9.360662899466007e-05
Without Nigeria,3R,0-fold,3,0.00043854397118401706,0.0002269586843624505,0.00029000934868188846,0.0006997961584174641,0.0001310346575115841
Without Nigeria,3R,4-fold,3,0.000494392838060795,0.00034878953853392547,0.00012974190098859838,0.0008247940060211586,0.00020137373396308725
Without Nigeria,X,0-fold,3,0.0009956469486464678,0.0005386784297798038,0.0004111589750253284,0.001472159237748087,0.0003110061364400146
Without Nigeria,X,4-fold,3,0.0005310453063686745,0.00018316689865319248,0.0003393041075251199,0.00070422436109617,0.00010575145824404958
