Contig,Site_class,Pair_1,Pair_2,N_matched_windows,Mean_difference,Wilcoxon_statistic,Raw_p,FDR_p
X,4-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,20,-0.001753625655117805,5.0,0.00029256438440193296,0.0022102058409336316
X,4-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,20,0.00030804836265231996,53.0,0.09099512294672399,0.136492684420086
X,4-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Mali_Faladje,20,0.00024171376808601496,73.0,0.3759797524564171,0.44232912053696133
X,4-fold,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,20,-6.633459456630504e-05,69.0,0.47239920501692023,0.5450760057887541
3R,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BurkinaFaso_BanaVillage_vs_Mali_Faladje,25,0.0004097868097355755,58.0,0.23105922995345296,0.3013816042871125
3R,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,25,0.00037396975196476545,54.0,0.17011443450093033,0.23736897837339116
3R,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.0029035446499930044,66.0,0.02853318507900548,0.05035267955118614
3R,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.0028901697090074237,65.0,0.0792146188362769,0.1218686443635029
3R,0-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,25,-0.002877672637121187,60.0,0.01767455609157178,0.03322400867096508
3R,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,25,-3.581705777081017e-05,73.0,0.8684061308988609,0.9141117167356431
3R,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.00331333145972858,46.0,0.005139214887964068,0.011427016379134163
3R,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.0032999565187429992,35.0,0.002972118525693996,0.007753352675723467
3R,0-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,25,-0.003287459446856763,24.0,0.0008755694759209293,0.003283385534703485
