Pair_ID,Pair_label,Mean_peak_FST0,Mean_peak_FST4,Delta_FST0_minus_FST4
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,0.10176135775618265,0.07715692393553528,0.02460443382064738
Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,0.10127849779886917,0.07074158295463988,0.030536914844229296
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,0.08794493089786977,0.07037656191266506,0.01756836898520471
