Pair_ID,Pair_label,Nigeria_status,Contig,Region,N_sites_0fold,N_sites_4fold,Low_sites_0fold,Low_sites_4fold
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:21393109-22393108,4241,1008,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:22393109-23393108,3779,913,False,True
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:23393109-24393108,7769,1995,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:2393109-3393108,40663,12147,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:3393109-4393108,21945,6424,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:393109-1393108,54171,15310,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:4393109-5393108,37899,11599,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:5393109-6393108,37847,11395,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:6393109-7393108,37169,11501,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:7393109-8393108,49696,14991,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:8393109-9393108,23518,7345,False,False
Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe vs BF_BanaVil,With Nigeria_Gombe,X,X:9393109-10393108,44499,13600,False,False
Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,NG_Gombe vs GN_Siguiri,With Nigeria_Gombe,3R,3R:28200685-29200684,40164,10912,False,False
