Comparison_group,Pair_ID,Pair_short,Pair_label,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Distance_from_CEN_midpoint_Mb,Site_class,FST_estimate,Jackknife_standard_error,FST_to_SE_ratio,n_jack,Run_status,Error_message
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:43200685-44200684,9.5,0-fold,0.0018960519075747,0.0005361264726563,3.536575797461546,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:42200685-43200684,10.5,4-fold,0.0010281259485409,0.0008407332741975,1.2228919445614554,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:42200685-43200684,10.5,0-fold,2.2230764508909957e-05,0.0007586076038188,0.0293046950716038,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:41200685-42200684,11.5,4-fold,0.0001479203678039,0.0004968665222496,0.2977064486739408,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:41200685-42200684,11.5,0-fold,0.0,0.0006832264616171,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:40200685-41200684,12.5,4-fold,0.0,0.0017187903549507,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:40200685-41200684,12.5,0-fold,0.0071479525770195,0.0047928887316693,1.491366267234408,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:39200685-40200684,13.5,4-fold,0.0,0.0015637417619259,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:39200685-40200684,13.5,0-fold,1.743822251704557e-06,0.0011149609765681,0.0015640208835578447,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:38200685-39200684,14.5,4-fold,0.0005409007171119,0.0005416813590537,0.9985588539669082,20,success,
