Analysis,Pair_ID,Pair_short,Pair_label,Comparison_group,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,Site_class,MalariaGEN_site_class_argument,Site_mask,FST_formula,FST_estimate,Jackknife_standard_error,n_jack,Run_status,Error_message,FST_to_SE_ratio
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:47200685-48200684,47200685,48200684,5000000,6000000,5.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0013247456481725,0.0005493416162136,20,success,,2.4115151830357604
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:47200685-48200684,47200685,48200684,5000000,6000000,5.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0002825506282004,0.0006324096115718,20,success,,0.4467842092060312
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:46200685-47200684,46200685,47200684,6000000,7000000,6.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0001735497272657,0.0005588966398378,20,success,,0.310522044498365
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:46200685-47200684,46200685,47200684,6000000,7000000,6.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0,0.0004636666772665,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:45200685-46200684,45200685,46200684,7000000,8000000,7.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0030113001833196,0.0012026879204019,20,success,,2.503808454576745
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:45200685-46200684,45200685,46200684,7000000,8000000,7.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.002360215798098,0.0010458323749345,20,success,,2.2567821140991353
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:44200685-45200684,44200685,45200684,8000000,9000000,8.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0,0.0006210390329768,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:44200685-45200684,44200685,45200684,8000000,9000000,8.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0,0.0003843363933086,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:43200685-44200684,43200685,44200684,9000000,10000000,9.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0019713982947096,0.0005436713246535,20,success,,3.626084741486115
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:43200685-44200684,43200685,44200684,9000000,10000000,9.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0018960519075747,0.0005361264726563,20,success,,3.536575797461546
