Comparison_group,Pair_ID,Pair_short,Pair_label,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,N_population_1,N_population_2,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,FST0,FST4,Total_sites_available,N_sites_FST4,N_sites_FST0,Pair_order,FST4_above_0p05,FST0_above_0p05,Either_FST_above_0p05,FST4_class_specific,FST0_class_specific,FST4_joint_window,FST0_joint_window
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:40200685-41200684,40200685,41200684,12000000,13000000,12.5,1000000,0.0071479525770195,0.0,,154,943,1,False,False,False,0.0,0.0071479525770195,0.0,0.0071479525770195
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:39200685-40200684,39200685,40200684,13000000,14000000,13.5,1000000,1.743822251704557e-06,0.0,,929,4046,1,False,False,False,0.0,1.743822251704557e-06,0.0,1.743822251704557e-06
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:38200685-39200684,38200685,39200684,14000000,15000000,14.5,1000000,0.0006504234247517,0.0005409007171119,,3935,15162,1,False,False,False,0.0005409007171119,0.0006504234247517,0.0005409007171119,0.0006504234247517
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:37200685-38200684,37200685,38200684,15000000,16000000,15.5,1000000,0.0,0.0006553237305582,,10427,40318,1,False,False,False,0.0006553237305582,0.0,0.0006553237305582,0.0
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:36200685-37200684,36200685,37200684,16000000,17000000,16.5,1000000,0.0006269715339049,0.0008747325188383,,12882,50124,1,False,False,False,0.0008747325188383,0.0006269715339049,0.0008747325188383,0.0006269715339049
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:35200685-36200684,35200685,36200684,17000000,18000000,17.5,1000000,0.0,0.0009568951245651,,13893,55922,1,False,False,False,0.0009568951245651,0.0,0.0009568951245651,0.0
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:34200685-35200684,34200685,35200684,18000000,19000000,18.5,1000000,0.000128636113838,0.0004996827352987,,8453,31170,1,False,False,False,0.0004996827352987,0.000128636113838,0.0004996827352987,0.000128636113838
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:33200685-34200684,33200685,34200684,19000000,20000000,19.5,1000000,0.002137144195506,5.609204982610479e-05,,7436,28262,1,False,False,False,5.609204982610479e-05,0.002137144195506,5.609204982610479e-05,0.002137144195506
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:32200685-33200684,32200685,33200684,20000000,21000000,20.5,1000000,0.0001591683757181,0.0002435771572002,,2090,8177,1,False,False,False,0.0002435771572002,0.0001591683757181,0.0002435771572002,0.0001591683757181
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:31200685-32200684,31200685,32200684,21000000,22000000,21.5,1000000,0.001212251809564,0.0008569277497336,,8476,31667,1,False,False,False,0.0008569277497336,0.001212251809564,0.0008569277497336,0.001212251809564
